Km,Elevation
0.0,149.352
1.609344,109.72800000000001
3.218688,97.536
4.828032,80.772
6.437376,54.864000000000004
8.04672,62.484
9.656064,54.864000000000004
11.265408,47.244
12.874752,54.864000000000004
14.484096000000001,45.72
16.09344,51.816
17.702784,54.864000000000004
19.312128,50.292
20.921472,44.196000000000005
22.530816,39.624
24.14016,48.768
25.749504,18.288
27.358848000000002,35.052
28.968192000000002,44.196000000000005
30.577536000000002,39.624
32.18688,45.72
33.796224,70.104
35.405568,45.72
37.014912,28.956000000000003
38.624256,18.288
40.2336,4.572
41.842944,3.048
