Stage,Elevation
Stage0,-71.66526367507193
Stage1,-25.663781277513785
Stage2,-6.019095650803962
Stage3,2.1119982899400327
Stage4,-16.318233612377913
Stage5,9.738976273418789
Stage6,12.143953199423642
Stage7,-47.389187322876644
Stage8,-1.9724476922606637
